state,foodStampsHousehold,children_4,children_3,no_children,,,0.709769266,0.747768072,-0.770552153,,4 children,no children,3 children,,Households receiving food stamps with children under 18 years
Alabama,53.7,1.7,5.0,65.7,,,,,,,1.7,65.7,5,,
Alaska,62.4,3.0,6.7,59.0,,,,,,,3,59,6.7,,
Arizona,57.3,2.7,6.7,61.5,,,,,,,2.7,61.5,6.7,,
Arkansas,53.1,1.7,5.4,63.2,,,,,,,1.7,63.2,5.4,,
California,70.0,2.2,6.4,58.8,,,,,,,2.2,58.8,6.4,,
Colorado,54.8,1.7,6.2,61.3,,,,,,,1.7,61.3,6.2,,
Connecticut,42.8,0.9,4.7,64.8,,,,,,,0.9,64.8,4.7,,
Delaware,54.0,2.1,5.3,60.4,,,,,,,2.1,60.4,5.3,,
District of Columbia,39.7,0.0,2.9,74.0,,,,,,,0,74,2.9,,
Florida,48.6,1.5,5.4,65.4,,,,,,,1.5,65.4,5.4,,
Georgia,56.9,2.1,6.3,61.0,,,,,,,2.1,61,6.3,,
Hawaii,54.9,2.0,5.4,64.0,,,,,,,2,64,5.4,,
Idaho,59.1,3.3,8.3,58.9,,,,,,,3.3,58.9,8.3,,
Illinois,52.6,1.4,6.0,62.9,,,,,,,1.4,62.9,6,,
Indiana,54.3,2.3,6.5,62.4,,,,,,,2.3,62.4,6.5,,
Iowa,52.9,2.4,6.4,65.0,,,,,,,2.4,65,6.4,,
Kansas,55.0,2.3,6.9,62.2,,,,,,,2.3,62.2,6.9,,
Kentucky,48.6,1.4,4.8,64.9,,,,,,,1.4,64.9,4.8,,
Louisiana,49.9,2.0,5.7,61.0,,,,,,,2,61,5.7,,
Maine,41.0,1.2,3.5,70.1,,,,,,,1.2,70.1,3.5,,
Maryland,53.1,1.7,5.0,63.0,,,,,,,1.7,63,5,,
Massachusetts,42.2,1.2,4.5,65.3,,,,,,,1.2,65.3,4.5,,
Michigan,46.3,1.9,5.2,64.9,,,,,,,1.9,64.9,5.2,,
Minnesota,50.9,1.9,5.7,63.2,,,,,,,1.9,63.2,5.7,,
Mississippi,53.9,1.6,5.3,63.0,,,,,,,1.6,63,5.3,,
Missouri,50.0,1.8,5.3,65.4,,,,,,,1.8,65.4,5.3,,
Montana,50.0,2.0,5.5,66.5,,,,,,,2,66.5,5.5,,
Nebraska,52.2,2.4,6.9,62.2,,,,,,,2.4,62.2,6.9,,
Nevada,51.4,3.3,5.5,60.9,,,,,,,3.3,60.9,5.5,,
New Hampshire,50.7,1.8,4.2,66.0,,,,,,,1.8,66,4.2,,
New Jersey,52.3,1.4,4.7,62.8,,,,,,,1.4,62.8,4.7,,
New Mexico,54.5,2.8,6.6,60.6,,,,,,,2.8,60.6,6.6,,
New York,43.8,1.6,5.7,62.6,,,,,,,1.6,62.6,5.7,,
North Carolina,52.7,1.6,4.9,67.5,,,,,,,1.6,67.5,4.9,,
North Dakota,54.9,2.1,5.7,67.5,,,,,,,2.1,67.5,5.7,,
Ohio,49.5,1.8,5.1,65.1,,,,,,,1.8,65.1,5.1,,
Oklahoma,54.5,2.3,7.2,63.2,,,,,,,2.3,63.2,7.2,,
Oregon,45.2,1.8,5.0,66.4,,,,,,,1.8,66.4,5,,
Pennsylvania,47.0,1.8,5.0,66.7,,,,,,,1.8,66.7,5,,
Rhode Island,44.8,1.0,4.4,67.4,,,,,,,1,67.4,4.4,,
South Carolina,53.4,1.5,5.0,66.2,,,,,,,1.5,66.2,5,,
South Dakota,50.8,2.8,7.2,64.2,,,,,,,2.8,64.2,7.2,,
Tennessee,51.1,2.1,5.2,63.5,,,,,,,2.1,63.5,5.2,,
Texas,64.5,2.4,7.4,57.3,,,,,,,2.4,57.3,7.4,,
Utah,66.7,5.3,9.9,53.8,,,,,,,5.3,53.8,9.9,,
Vermont,43.8,0.9,3.9,70.0,,,,,,,0.9,70,3.9,,
Virginia,55.0,1.6,5.4,62.3,,,,,,,1.6,62.3,5.4,,
Washington,47.0,1.7,5.9,63.9,,,,,,,1.7,63.9,5.9,,
West Virginia,46.7,1.3,4.1,68.8,,,,,,,1.3,68.8,4.1,,
Wisconsin,51.2,1.4,5.4,66.1,,,,,,,1.4,66.1,5.4,,
Wyoming,57.3,2.7,5.3,64.9,,,,,,,2.7,64.9,5.3,,
Puerto Rico,36.5,0.9,3.7,67.6,,,,,,,0.9,67.6,3.7,,
